Timestamp,CPU%,MemUsage,NetIO,BlockIO,PIDs
1717856384,1.05%,239.6MiB / 125.4GiB,0B / 0B,0B / 41.2MB,6
1717856386,0.00%,239.5MiB / 125.4GiB,0B / 0B,0B / 41.2MB,6
1717856388,0.45%,239.7MiB / 125.4GiB,1.29kB / 1.51kB,0B / 41.2MB,6
1717856390,82.06%,276MiB / 125.4GiB,10.9MB / 70kB,0B / 75.5MB,9
1717856392,141.30%,338.2MiB / 125.4GiB,54.5MB / 215kB,0B / 182MB,13
1717856394,282.00%,413.4MiB / 125.4GiB,141MB / 438kB,0B / 388MB,17
1717856396,431.82%,516.9MiB / 125.4GiB,272MB / 746kB,0B / 724MB,21
1717856398,605.71%,667.8MiB / 125.4GiB,444MB / 1.13MB,0B / 1.16GB,25
1717856400,852.95%,845.6MiB / 125.4GiB,662MB / 1.7MB,0B / 1.93GB,29
1717856402,971.53%,1.003GiB / 125.4GiB,911MB / 2.26MB,0B / 2.99GB,33
1717856404,1247.05%,1.191GiB / 125.4GiB,1.15GB / 3.07MB,0B / 3.59GB,37
1717856406,925.85%,1.344GiB / 125.4GiB,1.36GB / 3.83MB,0B / 4.29GB,39
1717856408,772.47%,1.46GiB / 125.4GiB,1.52GB / 4.44MB,0B / 4.75GB,39
1717856410,926.95%,1.576GiB / 125.4GiB,1.74GB / 5.26MB,0B / 5.55GB,39
1717856412,1305.50%,1.758GiB / 125.4GiB,2.02GB / 6.24MB,0B / 6.33GB,39
1717856414,1558.11%,1.948GiB / 125.4GiB,2.24GB / 7.05MB,0B / 7.14GB,40
1717856416,943.50%,2.085GiB / 125.4GiB,2.43GB / 7.71MB,0B / 7.91GB,40
1717856418,1484.59%,2.224GiB / 125.4GiB,2.64GB / 8.49MB,0B / 8.63GB,40
1717856420,911.70%,2.304GiB / 125.4GiB,2.77GB / 8.96MB,0B / 9.22GB,40
1717856422,910.61%,2.394GiB / 125.4GiB,2.98GB / 9.69MB,0B / 9.94GB,40
1717856424,1157.78%,2.515GiB / 125.4GiB,3.16GB / 10.3MB,0B / 10.7GB,40
1717856426,745.62%,2.67GiB / 125.4GiB,3.33GB / 10.9MB,0B / 11.4GB,40
1717856428,1369.60%,2.836GiB / 125.4GiB,3.55GB / 11.8MB,0B / 12.2GB,40
1717856430,978.32%,2.914GiB / 125.4GiB,3.68GB / 12.3MB,0B / 12.9GB,40
1717856432,761.37%,2.991GiB / 125.4GiB,3.87GB / 13MB,0B / 13.8GB,40
1717856434,1147.69%,3.12GiB / 125.4GiB,4.09GB / 13.7MB,0B / 14.9GB,40
1717856436,1175.66%,3.363GiB / 125.4GiB,4.33GB / 14.5MB,0B / 16.1GB,40
1717856438,1033.22%,3.604GiB / 125.4GiB,4.59GB / 15.3MB,0B / 17.5GB,40
1717856440,1016.38%,3.748GiB / 125.4GiB,4.85GB / 16.1MB,0B / 18.7GB,40
1717856442,682.89%,3.94GiB / 125.4GiB,5.06GB / 16.7MB,0B / 19.8GB,40
1717856444,217.13%,4.007GiB / 125.4GiB,5.12GB / 16.9MB,0B / 20GB,40
1717856446,215.73%,4.051GiB / 125.4GiB,5.17GB / 17.1MB,0B / 20.1GB,40
1717856448,100.65%,4.115GiB / 125.4GiB,5.24GB / 17.3MB,0B / 20.4GB,40
1717856450,71.00%,4.126GiB / 125.4GiB,5.26GB / 17.4MB,0B / 20.4GB,40
1717856452,77.46%,4.143GiB / 125.4GiB,5.28GB / 17.4MB,0B / 20.5GB,40
1717856454,787.74%,4.263GiB / 125.4GiB,5.45GB / 17.9MB,0B / 21.5GB,40
1717856456,612.85%,4.501GiB / 125.4GiB,5.69GB / 18.4MB,0B / 22.3GB,40
1717856458,579.93%,4.749GiB / 125.4GiB,5.92GB / 19MB,0B / 22.9GB,40
1717856460,593.80%,5.013GiB / 125.4GiB,6.16GB / 19.5MB,0B / 23.5GB,40
1717856462,596.29%,5.276GiB / 125.4GiB,6.4GB / 20.1MB,0B / 24GB,40
1717856464,596.39%,5.548GiB / 125.4GiB,6.64GB / 20.7MB,0B / 24.7GB,40
1717856466,591.25%,5.81GiB / 125.4GiB,6.88GB / 21.3MB,0B / 25.3GB,40
1717856468,664.60%,6.089GiB / 125.4GiB,7.13GB / 21.9MB,0B / 26GB,40
1717856470,634.29%,6.352GiB / 125.4GiB,7.36GB / 22.5MB,0B / 26.6GB,40
1717856472,710.34%,6.62GiB / 125.4GiB,7.6GB / 23.1MB,0B / 27.2GB,40
1717856474,886.30%,6.873GiB / 125.4GiB,7.8GB / 23.8MB,0B / 27.9GB,41
1717856476,925.78%,7.119GiB / 125.4GiB,7.99GB / 24.6MB,0B / 28.5GB,41
1717856478,1097.20%,7.342GiB / 125.4GiB,8.16GB / 25.4MB,0B / 29.1GB,41
1717856480,1211.39%,7.548GiB / 125.4GiB,8.29GB / 26.3MB,0B / 29.6GB,41
1717856482,1337.91%,7.738GiB / 125.4GiB,8.4GB / 27.2MB,0B / 30.2GB,41
1717856484,1322.78%,7.919GiB / 125.4GiB,8.51GB / 28.1MB,0B / 30.8GB,41
1717856486,1320.04%,8.1GiB / 125.4GiB,8.61GB / 29MB,0B / 31.3GB,41
1717856488,1338.95%,8.278GiB / 125.4GiB,8.71GB / 29.8MB,0B / 32GB,41
1717856490,1332.59%,8.458GiB / 125.4GiB,8.81GB / 30.7MB,0B / 32.4GB,41
1717856492,1315.93%,8.642GiB / 125.4GiB,8.91GB / 31.6MB,0B / 32.9GB,41
1717856494,1342.45%,8.818GiB / 125.4GiB,9.01GB / 32.5MB,0B / 33.6GB,41
1717856496,1374.38%,8.992GiB / 125.4GiB,9.11GB / 33.4MB,0B / 34GB,41
1717856498,1366.67%,9.165GiB / 125.4GiB,9.21GB / 34.2MB,0B / 34.5GB,41
1717856500,1355.21%,9.333GiB / 125.4GiB,9.31GB / 35.1MB,0B / 35.1GB,41
1717856502,1352.56%,9.507GiB / 125.4GiB,9.4GB / 35.9MB,0B / 35.6GB,41
1717856504,1356.04%,9.68GiB / 125.4GiB,9.5GB / 36.8MB,0B / 36.1GB,41
1717856506,1353.53%,9.852GiB / 125.4GiB,9.6GB / 37.6MB,0B / 36.6GB,41
1717856508,1343.84%,10.03GiB / 125.4GiB,9.7GB / 38.5MB,0B / 37.1GB,41
1717856511,1368.40%,10.2GiB / 125.4GiB,9.79GB / 39.3MB,0B / 37.7GB,41
1717856513,1367.34%,10.37GiB / 125.4GiB,9.89GB / 40.2MB,0B / 38.2GB,41
1717856515,1357.08%,10.55GiB / 125.4GiB,9.99GB / 41.1MB,0B / 38.7GB,41
1717856517,1365.14%,10.72GiB / 125.4GiB,10.1GB / 41.9MB,0B / 39.3GB,41
1717856519,1369.07%,10.89GiB / 125.4GiB,10.2GB / 42.8MB,0B / 39.8GB,41
1717856521,1378.53%,11.06GiB / 125.4GiB,10.3GB / 43.6MB,0B / 40.2GB,41
1717856523,1358.07%,11.23GiB / 125.4GiB,10.4GB / 44.5MB,0B / 40.9GB,41
1717856525,1354.84%,11.26GiB / 125.4GiB,10.5GB / 45.3MB,0B / 41.3GB,41
1717856527,1369.91%,11.27GiB / 125.4GiB,10.6GB / 46.1MB,0B / 41.8GB,41
1717856529,1349.99%,11.27GiB / 125.4GiB,10.7GB / 47MB,0B / 42.4GB,41
1717856531,1352.47%,11.28GiB / 125.4GiB,10.8GB / 47.9MB,0B / 42.9GB,41
1717856533,1366.36%,11.28GiB / 125.4GiB,10.9GB / 48.7MB,0B / 43.4GB,41
1717856535,1372.05%,11.29GiB / 125.4GiB,11GB / 49.6MB,0B / 43.9GB,42
1717856537,1347.61%,11.29GiB / 125.4GiB,11.1GB / 50.5MB,0B / 44.4GB,42
1717856539,1355.41%,11.3GiB / 125.4GiB,11.2GB / 51.3MB,0B / 45GB,42
1717856541,1349.76%,11.3GiB / 125.4GiB,11.3GB / 52.2MB,0B / 45.5GB,42
1717856543,1343.36%,11.31GiB / 125.4GiB,11.4GB / 53MB,0B / 45.9GB,42
1717856545,1309.87%,11.31GiB / 125.4GiB,11.5GB / 53.9MB,0B / 46.6GB,42
1717856547,1233.54%,11.32GiB / 125.4GiB,11.5GB / 54.7MB,0B / 47GB,42
1717856549,1075.42%,11.32GiB / 125.4GiB,11.6GB / 55.5MB,0B / 47.4GB,42
1717856551,843.44%,11.33GiB / 125.4GiB,11.7GB / 56.1MB,0B / 47.9GB,42
1717856553,627.51%,11.35GiB / 125.4GiB,11.8GB / 56.5MB,0B / 48.2GB,42
1717856555,313.52%,11.4GiB / 125.4GiB,11.8GB / 56.8MB,0B / 48.4GB,42
1717856557,214.41%,11.4GiB / 125.4GiB,11.8GB / 57MB,0B / 48.4GB,42
1717856559,16.78%,11.4GiB / 125.4GiB,11.8GB / 57MB,0B / 48.5GB,42
1717856561,17.31%,11.4GiB / 125.4GiB,11.8GB / 57MB,0B / 48.5GB,42
1717856563,224.22%,11.46GiB / 125.4GiB,11.8GB / 57MB,0B / 48.5GB,43
1717856565,218.24%,11.48GiB / 125.4GiB,11.8GB / 57MB,0B / 48.5GB,43
1717856567,263.99%,11.47GiB / 125.4GiB,11.8GB / 57MB,0B / 48.5GB,42
1717856569,120.94%,11.41GiB / 125.4GiB,11.8GB / 57MB,0B / 49.4GB,41
1717856571,210.11%,11.5GiB / 125.4GiB,11.8GB / 57MB,0B / 49.4GB,41
1717856573,111.69%,11.52GiB / 125.4GiB,11.8GB / 57MB,0B / 50.2GB,40
1717856575,62.35%,11.46GiB / 125.4GiB,11.8GB / 57MB,0B / 50.2GB,38
1717856577,7.40%,10.91GiB / 125.4GiB,11.8GB / 57MB,0B / 50.2GB,9
1717856579,282.68%,10.98GiB / 125.4GiB,11.8GB / 57.4MB,0B / 51GB,13
1717856581,580.41%,11.04GiB / 125.4GiB,11.8GB / 58.4MB,0B / 52.5GB,16
1717856583,25.05%,11.05GiB / 125.4GiB,11.8GB / 58.7MB,0B / 52.9GB,16
1717856585,6.66%,11.05GiB / 125.4GiB,11.8GB / 58.7MB,0B / 52.9GB,16
1717856587,8.14%,11.05GiB / 125.4GiB,11.8GB / 58.7MB,0B / 52.9GB,16
1717856589,10.59%,11.05GiB / 125.4GiB,11.8GB / 58.7MB,0B / 52.9GB,16
1717856591,24.49%,11.05GiB / 125.4GiB,11.8GB / 58.8MB,0B / 52.9GB,16
1717856593,11.08%,11.05GiB / 125.4GiB,11.8GB / 58.8MB,0B / 52.9GB,16
1717856595,571.66%,11.07GiB / 125.4GiB,11.8GB / 59.8MB,0B / 53.7GB,17
1717856597,557.32%,11.08GiB / 125.4GiB,11.8GB / 61MB,0B / 54.3GB,17
1717856599,527.47%,11.09GiB / 125.4GiB,11.8GB / 62.3MB,0B / 54.5GB,17
1717856601,559.86%,11.09GiB / 125.4GiB,11.8GB / 63.4MB,0B / 55.2GB,17
1717856603,548.04%,11.1GiB / 125.4GiB,11.8GB / 64.7MB,0B / 55.7GB,17
1717856605,529.77%,11.1GiB / 125.4GiB,11.8GB / 66MB,0B / 56GB,17
1717856607,554.37%,11.1GiB / 125.4GiB,11.8GB / 67.3MB,0B / 56.5GB,17
1717856609,548.42%,11.11GiB / 125.4GiB,11.8GB / 68.5MB,0B / 57GB,17
1717856611,543.42%,11.11GiB / 125.4GiB,11.8GB / 69.8MB,0B / 57.4GB,17
1717856613,548.42%,11.11GiB / 125.4GiB,11.8GB / 71.1MB,0B / 57.7GB,17
1717856615,555.90%,11.11GiB / 125.4GiB,11.8GB / 72.3MB,0B / 58.3GB,17
1717856617,545.43%,11.12GiB / 125.4GiB,11.8GB / 73.6MB,0B / 58.7GB,17
1717856619,530.56%,11.12GiB / 125.4GiB,11.8GB / 74.9MB,0B / 58.9GB,17
1717856621,555.43%,11.12GiB / 125.4GiB,11.8GB / 76.2MB,0B / 59.6GB,17
1717856623,548.67%,11.13GiB / 125.4GiB,11.8GB / 77.4MB,0B / 60GB,17
1717856625,541.74%,11.13GiB / 125.4GiB,11.8GB / 78.7MB,0B / 60.3GB,17
1717856627,548.22%,11.13GiB / 125.4GiB,11.8GB / 80MB,0B / 60.7GB,17
1717856629,554.09%,11.13GiB / 125.4GiB,11.8GB / 81.3MB,0B / 61.3GB,17
1717856631,549.29%,11.14GiB / 125.4GiB,11.8GB / 82.6MB,0B / 61.7GB,17
1717856633,538.57%,11.14GiB / 125.4GiB,11.8GB / 83.9MB,0B / 61.9GB,17
1717856635,556.72%,11.14GiB / 125.4GiB,11.8GB / 85.2MB,0B / 62.5GB,17
1717856637,557.65%,11.14GiB / 125.4GiB,11.8GB / 86.4MB,0B / 63GB,17
1717856639,600.27%,11.15GiB / 125.4GiB,11.8GB / 87.7MB,0B / 63.4GB,17
1717856641,564.40%,11.15GiB / 125.4GiB,11.8GB / 89MB,0B / 63.9GB,17
1717856643,555.45%,11.16GiB / 125.4GiB,11.8GB / 90.2MB,0B / 64.5GB,17
1717856645,546.22%,11.16GiB / 125.4GiB,11.8GB / 91.5MB,0B / 64.8GB,17
1717856647,569.17%,11.17GiB / 125.4GiB,11.8GB / 92.7MB,0B / 65.3GB,17
1717856649,556.66%,11.18GiB / 125.4GiB,11.8GB / 94MB,0B / 65.8GB,17
1717856651,547.30%,11.18GiB / 125.4GiB,11.8GB / 95.3MB,0B / 66.1GB,17
1717856653,620.95%,11.2GiB / 125.4GiB,11.8GB / 96.5MB,0B / 66.7GB,18
1717856655,556.14%,11.19GiB / 125.4GiB,11.8GB / 97.8MB,0B / 67.2GB,17
1717856657,554.32%,11.2GiB / 125.4GiB,11.8GB / 99.1MB,0B / 67.6GB,17
1717856659,566.72%,11.2GiB / 125.4GiB,11.8GB / 100MB,0B / 68.1GB,17
1717856661,556.39%,11.2GiB / 125.4GiB,11.9GB / 102MB,0B / 68.5GB,17
1717856663,554.77%,11.21GiB / 125.4GiB,11.9GB / 103MB,0B / 68.8GB,17
1717856665,555.25%,11.21GiB / 125.4GiB,11.9GB / 104MB,0B / 69.4GB,17
1717856667,562.36%,11.22GiB / 125.4GiB,11.9GB / 106MB,0B / 69.9GB,17
1717856669,551.10%,11.22GiB / 125.4GiB,11.9GB / 107MB,0B / 70.2GB,17
1717856671,537.28%,11.22GiB / 125.4GiB,11.9GB / 108MB,0B / 70.6GB,17
1717856673,562.61%,11.23GiB / 125.4GiB,11.9GB / 109MB,0B / 71.2GB,17
1717856675,555.38%,11.23GiB / 125.4GiB,11.9GB / 111MB,0B / 71.6GB,17
1717856677,545.08%,11.23GiB / 125.4GiB,11.9GB / 112MB,0B / 72GB,17
1717856679,565.01%,11.24GiB / 125.4GiB,11.9GB / 113MB,0B / 72.5GB,17
1717856681,553.99%,11.24GiB / 125.4GiB,11.9GB / 115MB,0B / 73GB,17
1717856683,545.00%,11.25GiB / 125.4GiB,11.9GB / 116MB,0B / 73.3GB,17
1717856685,563.77%,11.25GiB / 125.4GiB,11.9GB / 117MB,0B / 73.7GB,17
1717856687,562.17%,11.25GiB / 125.4GiB,11.9GB / 118MB,0B / 74.3GB,17
1717856689,548.79%,11.26GiB / 125.4GiB,11.9GB / 120MB,0B / 74.6GB,17
1717856691,543.70%,11.26GiB / 125.4GiB,11.9GB / 121MB,0B / 74.9GB,17
1717856693,567.38%,11.27GiB / 125.4GiB,11.9GB / 122MB,0B / 75.6GB,17
1717856695,551.10%,11.27GiB / 125.4GiB,11.9GB / 124MB,0B / 76GB,17
1717856697,540.46%,11.27GiB / 125.4GiB,11.9GB / 125MB,0B / 76.3GB,17
1717856699,568.78%,11.28GiB / 125.4GiB,11.9GB / 126MB,0B / 77GB,17
1717856701,549.06%,11.28GiB / 125.4GiB,11.9GB / 128MB,0B / 77.4GB,17
1717856703,545.66%,11.28GiB / 125.4GiB,11.9GB / 129MB,0B / 77.7GB,17
1717856705,570.91%,11.29GiB / 125.4GiB,11.9GB / 130MB,0B / 78.3GB,17
1717856707,556.23%,11.29GiB / 125.4GiB,11.9GB / 132MB,0B / 78.8GB,17
1717856709,546.80%,11.29GiB / 125.4GiB,11.9GB / 133MB,0B / 79.1GB,17
1717856711,567.28%,11.3GiB / 125.4GiB,11.9GB / 134MB,0B / 79.6GB,17
1717856713,575.89%,11.34GiB / 125.4GiB,11.9GB / 136MB,0B / 80.1GB,18
1717856715,563.79%,11.38GiB / 125.4GiB,11.9GB / 137MB,0B / 80.7GB,18
1717856717,586.35%,11.41GiB / 125.4GiB,11.9GB / 138MB,0B / 81.6GB,18
1717856719,590.12%,11.45GiB / 125.4GiB,11.9GB / 139MB,0B / 82.4GB,20
1717856721,925.32%,11.5GiB / 125.4GiB,11.9GB / 140MB,0B / 83.1GB,22
1717856724,174.18%,11.46GiB / 125.4GiB,11.9GB / 140MB,0B / 83.4GB,19
1717856726,4.51%,11.48GiB / 125.4GiB,11.9GB / 140MB,0B / 83.4GB,19
1717856728,141.66%,11.53GiB / 125.4GiB,11.9GB / 140MB,0B / 83.5GB,21
1717856730,71.65%,11.45GiB / 125.4GiB,11.9GB / 140MB,0B / 83.5GB,17
1717856732,112.99%,11.59GiB / 125.4GiB,11.9GB / 140MB,0B / 83.6GB,23
1717856734,1078.19%,11.55GiB / 125.4GiB,11.9GB / 141MB,0B / 83.9GB,22
1717856736,1358.31%,11.63GiB / 125.4GiB,11.9GB / 141MB,0B / 84GB,24
1717856738,1321.56%,11.63GiB / 125.4GiB,11.9GB / 141MB,0B / 84.2GB,24
1717856740,1364.29%,11.58GiB / 125.4GiB,11.9GB / 141MB,0B / 84.3GB,21
1717856742,1337.09%,11.58GiB / 125.4GiB,11.9GB / 141MB,0B / 84.4GB,24
1717856744,1392.02%,11.57GiB / 125.4GiB,11.9GB / 141MB,0B / 84.5GB,22
1717856746,1370.56%,11.63GiB / 125.4GiB,11.9GB / 142MB,0B / 84.6GB,24
1717856748,1385.07%,11.58GiB / 125.4GiB,11.9GB / 142MB,0B / 84.7GB,24
1717856750,1323.03%,11.58GiB / 125.4GiB,11.9GB / 142MB,0B / 84.8GB,23
1717856752,1399.27%,11.59GiB / 125.4GiB,11.9GB / 142MB,0B / 84.9GB,22
1717856754,1380.70%,11.61GiB / 125.4GiB,11.9GB / 142MB,0B / 84.9GB,22
1717856756,1365.63%,11.56GiB / 125.4GiB,11.9GB / 142MB,0B / 85GB,21
1717856758,1355.26%,11.61GiB / 125.4GiB,11.9GB / 143MB,0B / 85.1GB,24
1717856760,1378.68%,11.64GiB / 125.4GiB,11.9GB / 143MB,0B / 85.2GB,24
1717856762,1372.39%,11.65GiB / 125.4GiB,11.9GB / 143MB,0B / 85.3GB,24
1717856764,1370.84%,11.64GiB / 125.4GiB,11.9GB / 143MB,0B / 85.4GB,24
1717856766,1363.01%,11.61GiB / 125.4GiB,11.9GB / 143MB,0B / 85.4GB,23
1717856768,1322.84%,11.59GiB / 125.4GiB,11.9GB / 143MB,0B / 85.4GB,24
1717856770,1388.80%,11.65GiB / 125.4GiB,11.9GB / 144MB,0B / 85.5GB,24
1717856772,1364.83%,11.65GiB / 125.4GiB,11.9GB / 144MB,0B / 85.5GB,24
1717856774,1197.21%,11.5GiB / 125.4GiB,11.9GB / 144MB,0B / 85.8GB,17
1717856776,573.42%,11.5GiB / 125.4GiB,11.9GB / 145MB,0B / 87GB,17
1717856778,561.38%,11.5GiB / 125.4GiB,11.9GB / 147MB,0B / 87.7GB,17
1717856780,537.90%,11.5GiB / 125.4GiB,11.9GB / 148MB,0B / 88GB,17
1717856782,564.92%,11.51GiB / 125.4GiB,11.9GB / 149MB,0B / 88.8GB,17
1717856784,554.68%,11.51GiB / 125.4GiB,11.9GB / 151MB,0B / 89.2GB,17
1717856786,536.35%,11.51GiB / 125.4GiB,11.9GB / 152MB,0B / 89.5GB,17
1717856788,566.82%,11.51GiB / 125.4GiB,11.9GB / 153MB,0B / 90.2GB,17
1717856790,549.25%,11.52GiB / 125.4GiB,11.9GB / 155MB,0B / 90.7GB,17
1717856792,544.13%,11.52GiB / 125.4GiB,11.9GB / 156MB,0B / 91GB,17
1717856794,572.37%,11.52GiB / 125.4GiB,11.9GB / 157MB,0B / 91.6GB,17
1717856796,556.55%,11.52GiB / 125.4GiB,11.9GB / 159MB,0B / 92.1GB,17
1717856798,549.61%,11.53GiB / 125.4GiB,11.9GB / 160MB,0B / 92.4GB,17
1717856800,572.80%,11.53GiB / 125.4GiB,11.9GB / 161MB,0B / 92.9GB,17
1717856802,562.78%,11.53GiB / 125.4GiB,11.9GB / 163MB,0B / 93.5GB,17
1717856804,556.32%,11.53GiB / 125.4GiB,11.9GB / 164MB,0B / 93.9GB,17
1717856806,595.04%,11.53GiB / 125.4GiB,11.9GB / 165MB,0B / 94.4GB,17
1717856808,610.59%,11.54GiB / 125.4GiB,11.9GB / 167MB,0B / 94.9GB,17
1717856810,608.34%,11.54GiB / 125.4GiB,11.9GB / 168MB,0B / 95.3GB,17
1717856812,610.98%,11.54GiB / 125.4GiB,11.9GB / 169MB,0B / 95.8GB,17
1717856814,570.42%,11.54GiB / 125.4GiB,11.9GB / 170MB,0B / 96.4GB,17
1717856816,551.72%,11.54GiB / 125.4GiB,11.9GB / 172MB,0B / 96.9GB,17
1717856818,554.10%,11.55GiB / 125.4GiB,11.9GB / 173MB,0B / 97.5GB,17
1717856820,565.58%,11.52GiB / 125.4GiB,11.9GB / 174MB,0B / 98GB,16
1717856822,549.36%,11.53GiB / 125.4GiB,11.9GB / 176MB,0B / 98.6GB,16
1717856824,541.75%,11.53GiB / 125.4GiB,11.9GB / 177MB,0B / 99GB,16
1717856826,558.08%,11.53GiB / 125.4GiB,11.9GB / 178MB,0B / 99.4GB,16
1717856828,547.78%,11.53GiB / 125.4GiB,11.9GB / 180MB,0B / 100GB,16
1717856830,536.42%,11.53GiB / 125.4GiB,11.9GB / 181MB,0B / 100GB,16
1717856832,550.88%,11.54GiB / 125.4GiB,11.9GB / 182MB,0B / 101GB,16
1717856834,571.88%,11.58GiB / 125.4GiB,11.9GB / 183MB,0B / 101GB,17
1717856836,558.26%,11.56GiB / 125.4GiB,11.9GB / 185MB,0B / 102GB,17
1717856838,582.82%,11.57GiB / 125.4GiB,11.9GB / 186MB,0B / 102GB,17
1717856840,593.96%,11.58GiB / 125.4GiB,11.9GB / 187MB,0B / 103GB,17
1717856842,585.05%,11.6GiB / 125.4GiB,11.9GB / 189MB,0B / 103GB,16
1717856844,542.70%,11.6GiB / 125.4GiB,11.9GB / 190MB,0B / 104GB,16
1717856846,534.20%,11.6GiB / 125.4GiB,11.9GB / 191MB,0B / 104GB,16
1717856848,539.54%,11.6GiB / 125.4GiB,11.9GB / 193MB,0B / 104GB,16
1717856850,545.60%,11.6GiB / 125.4GiB,11.9GB / 194MB,0B / 105GB,16
1717856852,536.62%,11.61GiB / 125.4GiB,11.9GB / 195MB,0B / 105GB,16
1717856854,529.89%,11.61GiB / 125.4GiB,11.9GB / 197MB,0B / 106GB,16
1717856856,546.73%,11.61GiB / 125.4GiB,11.9GB / 198MB,0B / 106GB,16
1717856858,537.82%,11.61GiB / 125.4GiB,11.9GB / 199MB,0B / 106GB,16
1717856860,529.44%,11.61GiB / 125.4GiB,11.9GB / 201MB,0B / 107GB,16
1717856862,545.28%,11.62GiB / 125.4GiB,11.9GB / 202MB,0B / 107GB,16
1717856864,539.49%,11.62GiB / 125.4GiB,11.9GB / 203MB,0B / 108GB,16
1717856866,544.15%,11.62GiB / 125.4GiB,11.9GB / 205MB,0B / 108GB,16
1717856868,546.53%,11.62GiB / 125.4GiB,11.9GB / 206MB,0B / 109GB,16
1717856870,537.28%,11.62GiB / 125.4GiB,11.9GB / 208MB,0B / 109GB,16
1717856872,553.75%,11.62GiB / 125.4GiB,11.9GB / 209MB,0B / 110GB,16
1717856874,542.93%,11.63GiB / 125.4GiB,11.9GB / 210MB,0B / 110GB,16
1717856876,529.70%,11.63GiB / 125.4GiB,11.9GB / 212MB,0B / 110GB,16
1717856878,546.07%,11.63GiB / 125.4GiB,11.9GB / 213MB,0B / 111GB,16
1717856880,539.07%,11.63GiB / 125.4GiB,11.9GB / 214MB,0B / 111GB,16
1717856882,527.73%,11.63GiB / 125.4GiB,11.9GB / 216MB,0B / 112GB,16
1717856884,543.22%,11.63GiB / 125.4GiB,11.9GB / 217MB,0B / 112GB,16
1717856886,540.97%,11.63GiB / 125.4GiB,12GB / 218MB,0B / 113GB,16
1717856888,520.07%,11.64GiB / 125.4GiB,12GB / 220MB,0B / 113GB,16
1717856890,550.16%,11.64GiB / 125.4GiB,12GB / 221MB,0B / 113GB,16
1717856892,536.69%,11.64GiB / 125.4GiB,12GB / 222MB,0B / 114GB,16
1717856894,550.88%,11.71GiB / 125.4GiB,12GB / 224MB,0B / 114GB,17
1717856896,572.20%,11.72GiB / 125.4GiB,12GB / 225MB,0B / 115GB,17
1717856898,641.12%,11.72GiB / 125.4GiB,12GB / 226MB,0B / 115GB,17
1717856900,585.81%,11.71GiB / 125.4GiB,12GB / 227MB,0B / 116GB,16
1717856902,570.24%,11.71GiB / 125.4GiB,12GB / 229MB,0B / 116GB,16
1717856904,559.41%,11.71GiB / 125.4GiB,12GB / 230MB,0B / 117GB,16
1717856906,565.07%,11.71GiB / 125.4GiB,12GB / 231MB,0B / 117GB,16
1717856908,569.14%,11.71GiB / 125.4GiB,12GB / 232MB,0B / 117GB,16
1717856910,561.70%,11.72GiB / 125.4GiB,12GB / 234MB,0B / 118GB,16
1717856912,543.18%,11.72GiB / 125.4GiB,12GB / 235MB,0B / 118GB,16
1717856914,579.15%,11.72GiB / 125.4GiB,12GB / 236MB,0B / 119GB,16
1717856916,557.31%,11.72GiB / 125.4GiB,12GB / 237MB,0B / 119GB,16
1717856918,548.63%,11.72GiB / 125.4GiB,12GB / 239MB,0B / 119GB,16
1717856920,580.05%,11.72GiB / 125.4GiB,12GB / 240MB,0B / 120GB,16
1717856922,564.82%,11.72GiB / 125.4GiB,12GB / 241MB,0B / 120GB,16
1717856924,554.02%,11.73GiB / 125.4GiB,12GB / 243MB,0B / 120GB,16
1717856926,573.22%,11.73GiB / 125.4GiB,12GB / 244MB,0B / 121GB,16
1717856928,566.93%,11.73GiB / 125.4GiB,12GB / 245MB,0B / 121GB,16
1717856930,565.96%,11.73GiB / 125.4GiB,12GB / 246MB,0B / 122GB,16
1717856932,557.96%,11.73GiB / 125.4GiB,12GB / 248MB,0B / 122GB,16
1717856934,572.06%,11.73GiB / 125.4GiB,12GB / 249MB,0B / 123GB,16
1717856936,564.53%,11.73GiB / 125.4GiB,12GB / 250MB,0B / 123GB,16
1717856938,543.25%,11.73GiB / 125.4GiB,12GB / 251MB,0B / 123GB,16
1717856941,578.60%,11.74GiB / 125.4GiB,12GB / 253MB,0B / 124GB,16
1717856943,559.32%,11.74GiB / 125.4GiB,12GB / 254MB,0B / 124GB,16
1717856945,546.88%,11.74GiB / 125.4GiB,12GB / 255MB,0B / 124GB,16
1717856947,576.46%,11.74GiB / 125.4GiB,12GB / 257MB,0B / 125GB,16
1717856949,563.50%,11.74GiB / 125.4GiB,12GB / 258MB,0B / 125GB,16
1717856951,554.83%,11.74GiB / 125.4GiB,12GB / 259MB,0B / 125GB,16
1717856953,561.60%,11.74GiB / 125.4GiB,12GB / 260MB,0B / 126GB,16
1717856955,593.27%,11.76GiB / 125.4GiB,12GB / 262MB,0B / 126GB,17
1717856957,542.93%,11.75GiB / 125.4GiB,12GB / 263MB,0B / 127GB,16
1717856959,538.04%,11.75GiB / 125.4GiB,12GB / 264MB,0B / 127GB,16
1717856961,548.14%,11.75GiB / 125.4GiB,12GB / 266MB,0B / 128GB,16
1717856963,537.24%,11.75GiB / 125.4GiB,12GB / 267MB,0B / 128GB,16
1717856965,532.74%,11.75GiB / 125.4GiB,12GB / 268MB,0B / 128GB,16
1717856967,550.02%,11.75GiB / 125.4GiB,12GB / 270MB,0B / 129GB,16
